65472,65463,65472,65460,65467,65460,65468,65454,65467,65455,65469,65453,65467,65455,65467,65447,65468,65449,65465,65446,65464,65449,65463,65447,65466,65449,65464,65447,65463,65446,65468,65439,
65461,65458,65454,65459,65456,65451,65452,65452,65455,65450,65451,65451,65462,65448,65449,65447,65457,65443,65447,65448,65455,65443,65449,65443,65457,65443,65452,65446,65455,65442,65455,65440,
65472,65460,65470,65455,65464,65460,65467,65456,65469,65458,65470,65455,65478,65460,65464,65447,65464,65449,65462,65444,65462,65447,65463,65444,65466,65448,65465,65444,65465,65446,65467,65439,
65462,65455,65453,65456,65456,65451,65450,65456,65457,65454,65457,65455,65468,65453,65448,65447,65455,65442,65446,65444,65452,65442,65447,65443,65457,65441,65452,65446,65455,65444,65453,65437,
65472,65461,65469,65457,65470,65461,65471,65457,65473,65458,65477,65460,65478,65465,65463,65448,65468,65451,65466,65446,65465,65449,65461,65444,65462,65447,65463,65442,65463,65449,65466,65440,
65461,65454,65452,65456,65461,65452,65451,65454,65465,65452,65459,65460,65468,65453,65447,65445,65460,65453,65452,65444,65453,65440,65446,65444,65454,65439,65446,65441,65454,65442,65451,65439,
65468,65463,65472,65462,65469,65458,65467,65453,65477,65462,65480,65465,65479,65465,65462,65447,65478,65467,65463,65445,65461,65446,65463,65444,65465,65447,65463,65442,65462,65446,65466,65440,
65459,65455,65457,65460,65458,65451,65449,65452,65462,65456,65461,65466,65471,65455,65446,65447,65471,65458,65446,65442,65451,65441,65444,65444,65454,65439,65449,65439,65451,65439,65450,65438,
65471,65470,65479,65462,65468,65460,65473,65457,65478,65468,65486,65474,65489,65476,65473,65464,65484,65463,65462,65445,65463,65446,65461,65444,65468,65448,65459,65441,65462,65445,65465,65437,
65458,65457,65453,65458,65454,65448,65452,65457,65464,65461,65468,65474,65480,65470,65467,65467,65471,65446,65443,65443,65452,65437,65443,65440,65454,65439,65445,65439,65451,65436,65447,65435,
65468,65460,65467,65456,65468,65458,65469,65455,65487,65472,65494,65483,65496,65481,65490,65475,65472,65451,65459,65444,65461,65446,65459,65444,65464,65445,65459,65441,65460,65442,65465,65435,
65458,65448,65448,65449,65454,65447,65445,65452,65468,65465,65474,65480,65482,65470,65470,65466,65456,65437,65440,65439,65450,65436,65441,65440,65450,65435,65441,65437,65450,65435,65448,65432,
65465,65458,65465,65454,65464,65456,65465,65451,65481,65472,65495,65482,65493,65482,65484,65461,65461,65447,65457,65443,65460,65446,65459,65443,65462,65443,65458,65443,65460,65445,65464,65436,
65452,65444,65443,65446,65450,65445,65444,65446,65465,65460,65471,65476,65479,65471,65459,65447,65446,65438,65438,65437,65445,65435,65438,65437,65448,65434,65440,65439,65448,65436,65448,65432,
65463,65459,65465,65455,65465,65456,65465,65453,65478,65468,65486,65476,65494,65482,65468,65447,65460,65446,65458,65441,65458,65443,65457,65442,65458,65445,65462,65442,65460,65447,65464,65440,
65449,65441,65441,65445,65450,65443,65443,65447,65458,65457,65461,65470,65480,65472,65454,65438,65446,65434,65437,65435,65444,65434,65439,65435,65446,65435,65441,65437,65447,65437,65447,65436,
65467,65462,65468,65457,65467,65457,65463,65452,65470,65462,65487,65475,65497,65485,65479,65457,65458,65444,65456,65441,65459,65445,65458,65443,65460,65446,65458,65442,65458,65448,65462,65439,
65451,65449,65451,65450,65450,65444,65441,65445,65449,65448,65465,65468,65476,65469,65470,65453,65443,65432,65433,65433,65444,65434,65436,65437,65446,65433,65438,65434,65445,65437,65446,65432,
65468,65467,65475,65464,65464,65458,65461,65453,65462,65455,65483,65474,65493,65482,65497,65480,65461,65443,65456,65443,65455,65445,65458,65441,65461,65445,65460,65442,65461,65447,65461,65440,
65455,65457,65453,65455,65448,65443,65437,65444,65442,65439,65450,65464,65473,65467,65471,65474,65456,65432,65430,65434,65438,65432,65434,65434,65446,65434,65437,65434,65445,65433,65442,65432,
65471,65472,65482,65467,65467,65460,65464,65451,65462,65452,65469,65463,65487,65479,65491,65480,65480,65462,65456,65441,65458,65445,65457,65442,65460,65447,65457,65442,65461,65447,65462,65444,
65452,65451,65450,65453,65449,65443,65439,65441,65441,65437,65438,65452,65467,65462,65463,65466,65473,65448,65431,65429,65440,65429,65431,65433,65442,65429,65435,65433,65444,65431,65442,65435,
65470,65467,65471,65462,65472,65467,65464,65453,65463,65454,65460,65448,65484,65474,65486,65476,65497,65483,65464,65445,65456,65448,65456,65444,65458,65445,65456,65443,65459,65451,65458,65443,
65439,65438,65432,65438,65438,65435,65427,65431,65433,65422,65423,65424,65441,65448,65450,65452,65466,65456,65444,65428,65431,65422,65420,65424,65433,65420,65424,65423,65435,65425,65427,65422,
